factor,ic_mean,ic_std,t_stat,icir,n_days,significant
VSTD30,-0.008945443187513103,0.12402883086911612,-3.0471814941259723,-0.07212390155441326,1785,True
VSTD60,-0.0013414358608135602,0.1320682672161959,-0.4255102173724106,-0.010157139857204516,1755,False
WVMA5,-0.0033239593880988426,0.08630102924801863,-1.6381701839205463,-0.038515871908621026,1809,False
WVMA10,-0.002905085387658083,0.09405987971974988,-1.3118154739428523,-0.03088548907689171,1804,False
WVMA20,-0.002430765293671401,0.10191588002393077,-1.0102116843596771,-0.02385070209962015,1794,False
WVMA30,-0.0012433805328677856,0.11046837627153727,-0.4754047514445658,-0.011255533708683187,1784,False
WVMA60,-0.0046099292808129844,0.12238890827356323,-1.5774913872584535,-0.03766623418609869,1754,False
VSUMP5,-0.002314085596825794,0.11861561787953324,-0.8297682769367553,-0.01950911387719612,1809,False
VSUMP10,0.0005006764022046443,0.12306503045017685,0.17279880147235221,0.0040683888865354345,1804,False
VSUMP20,-0.0033303107504176286,0.12491902103912024,-1.1291909961482205,-0.026659757038719447,1794,False
VSUMP30,-0.006817693903700595,0.12984707795442282,-2.217699726221152,-0.05250556278281172,1784,True
VSUMP60,-0.00921046578917511,0.12776199439335192,-3.0192196244284246,-0.07209081098732735,1754,True
VSUMN5,0.001965483946517836,0.11935734302800569,0.7003895244954375,0.016467222683204837,1809,False
VSUMN10,-0.00010772254407055744,0.12431455760129953,-0.03680466587032865,-0.0008665320148268087,1804,False
VSUMN20,0.004098928854079076,0.1264104096984561,1.3734054318742313,0.03242556419093021,1794,False
VSUMN30,0.0084691125292672,0.13034697893429517,2.744317521702232,0.06497360045096465,1784,True
VSUMN60,0.015933496836912028,0.12643906798252422,5.27769887122135,0.1260171961969403,1754,True
VSUMD5,-0.0021703354064861098,0.11896705424208937,-0.7759244388432887,-0.01824316337252189,1809,False
VSUMD10,0.00011558684990065982,0.12354944830208818,0.03973615894616046,0.0009355513236938203,1804,False
VSUMD20,-0.003814237198232199,0.1262907079714046,-1.2792267098682155,-0.030202041460531195,1794,False
VSUMD30,-0.008017261625326393,0.1311585919553647,-2.5818246052610525,-0.06112646915312107,1784,True
VSUMD60,-0.012296212352305682,0.1292091617302128,-3.985592016850575,-0.09516517395244796,1754,True
sma_5,-0.014440299595648173,0.22788936428675324,-2.695823372281508,-0.06336539504966954,1810,True
sma_20,-0.013312349139828728,0.2242395005883657,-2.515213226642557,-0.05936665531674582,1795,True
ema_12,-0.013101547961921136,0.22607833638155667,-2.4607161845133483,-0.05795136399008796,1803,True
ema_26,-0.013533005095103212,0.22236356967844914,-2.5741614273282285,-0.06085981221956788,1789,True
rsi,-0.013411145957107528,0.19322193575141403,-2.944731573941046,-0.06940798882359496,1800,True
macd,-0.0169024985978546,0.20505728084395392,-3.4786254836958106,-0.08242818069316542,1781,True
macd_signal,-0.01699479063533736,0.20382739715220904,-3.5187241348355953,-0.08337834301365493,1781,True
volume_change,0.0029357860920320934,0.11874962756263835,1.0526671117107032,0.02472248673355643,1813,False
obv,0.011556108860689357,0.15713180655063239,3.1323202782045354,0.07354404632881024,1814,True
volume_ma_5,0.0009326258034463599,0.16958026460994527,0.23397605057545307,0.0054996128564341485,1810,False
volume_ma_20,-0.0001669139095775329,0.16984634767622345,-0.0416359562675152,-0.0009827347591584328,1795,False
volume_ratio,0.0017018687313260128,0.1302980555214931,0.5533760395198059,0.013061351717910202,1795,False
kdj_k,0.002249452411863362,0.17529904142069472,0.5447216817125813,0.01283208620898828,1802,False
kdj_d,0.003429747883848594,0.17582951758889848,0.8280333056249952,0.01950609846901577,1802,False
kdj_j,0.0003470350656619781,0.16789309005507944,0.08774410140154403,0.002067000288982286,1802,False
boll_mid,-0.013703151064825742,0.22571077335347042,-2.5721742317723395,-0.060711107676575816,1795,True
boll_std,0.019134903892343513,0.23463403343034017,3.4551547659159767,0.08155212444073856,1795,True
atr_14,-0.02294652063443036,0.24181861324925058,-4.02590357968477,-0.0948914573866099,1800,True
ema_60,-0.010861266811541835,0.2100320102527213,-2.166374593376906,-0.05171243563527769,1755,True
volatility_10,-0.03560923164769975,0.20209098812228812,-7.4840024686223385,-0.17620395633946875,1804,True
volatility_20,-0.035834740833010144,0.21801416988629127,-6.961947847532827,-0.16436886121530686,1794,True
return_1,-0.008115120859114566,0.1757476132702191,-1.966094817477656,-0.046174856705662556,1813,False
return_5,-0.013040792575776122,0.18234751298902296,-3.041749365856641,-0.0715161526582551,1809,True
return_10,-0.012149051465157972,0.18997893550377304,-2.7161589949419986,-0.06394946593916823,1804,True
high_low_spread,-0.022973670216138355,0.235678749873898,-4.1517251802226625,-0.09747875117476913,1814,True
open_close_spread,0.010340415953448538,0.1722684516453295,2.556530039593965,0.060025012442427,1814,True
high_close_spread,-0.013566814856202147,0.22130480845667422,-2.6109928911830336,-0.0613037509253134,1814,True
low_close_spread,0.023912514199567927,0.20738573313681025,4.910944272986542,0.11530452860898144,1814,True
PE_TTM,0.020798880011445933,0.11801006329267329,7.504466240681412,0.1762466643193237,1813,True
PB,0.01995384801453787,0.12307779680536218,6.903126764694081,0.16212386419374492,1813,True
ROE_approx,0.028628112153688445,0.11214851510669348,10.869212617677048,0.2552696495932455,1813,True
总市值_对数,0.030628872403555087,0.14496054453259208,8.996634953438598,0.21129109650018368,1813,True
行业_交通运输,0.005523469935230234,0.08487245194297975,2.7710486303934787,0.06507965551579789,1813,True
行业_传媒,-0.002733134096417819,0.0658268186485799,-1.7083881590054903,-0.041520069669609985,1693,False
行业_公用事业,0.01340313216433829,0.11836062610372039,4.821675160158385,0.11323978763506214,1813,True
行业_农林牧渔,0.000705140491355132,0.06885025072437904,0.42301877302339824,0.010241654662638,1706,False
行业_化工,0.005472215560869576,0.0843299025176984,2.7599478870638383,0.06489057140462266,1809,True
行业_医药生物,0.005131718889766896,0.10880989006468496,2.005920746169414,0.04716224680234681,1809,True
行业_国防军工,0.00476159145911197,0.09959227604909225,2.0335073957933374,0.047810850881295525,1809,True
行业_地产建筑,-0.005615325157586943,0.10502558654827329,-2.2759299467291996,-0.053466258481745785,1812,True
行业_家用电器,0.0034447699550797634,0.06299240639198514,2.3259014464590253,0.05468547960596819,1809,True
行业_有色钢铁,0.000990100701968614,0.10888476208569042,0.3871784384753402,0.009093106170259359,1813,False
行业_机械设备,0.002441952112559807,0.07437469699114606,1.3964687356134786,0.032833103344952236,1809,False
行业_汽车,0.001982867020494772,0.09275729720686339,0.9097136875826956,0.021376938313248453,1811,False
行业_消费零售,0.003230850689177393,0.06415898284227378,2.1394297022187114,0.050356949970980745,1805,True
行业_电力新能源,0.0007355148412496407,0.10114603452461175,0.30945806440533274,0.007271810948462529,1811,False
行业_电子,0.0041727072889353725,0.14461678772917747,1.2272088916870167,0.028853547049804227,1809,False
行业_综合,-0.0004435187221363359,0.05446719544380699,-0.31368510275860395,-0.008142859541830232,1484,False
行业_能源,0.008547489095268677,0.09630734356429353,3.776925136474667,0.08875220496101094,1811,True
行业_计算机,5.427086609254124e-07,0.13716760083825613,0.00016828077105433855,3.956536803216074e-06,1809,False
行业_通信,0.004210846527848074,0.07375930790604845,2.4281296011837616,0.05708901896438177,1809,True
行业_金融,0.025719628010386544,0.15909280552684038,6.883559085258304,0.16166430609615098,1813,True
行业_食品饮料,0.009746343822005829,0.12663412331026655,3.273484307070526,0.07696459348580391,1809,True
